id,worker_type,spouse_type,birth_yr,claim_age,year_at_65,awi_at_65,real_career_avg_earn,ben_at_65_pb,real_ben_at_65_pb,rep_rate_awi_pb,rep_rate_career_pb
R-low-1960-44-65,low,very_low,1960,65,2025,72255.52,23539.70329221506,15204,15518.7228,0.2104199097868232,0.6592573664737855
R-low-1965-44-65,low,very_low,1965,65,2030,88030.45,25154.864377978556,18384,16950.713175113582,0.2088368286200968,0.6738542860104954
R-low-1970-44-65,low,very_low,1970,65,2035,106494.41,26970.821728901054,17838.877313808,14861.082232275265,0.16750998774309372,0.5510059123022794
R-low-1975-44-65,low,very_low,1975,65,2040,127479.7,28991.257106845605,21144.054989567998,15914.982040958335,0.16586213326175067,0.5489579835156712
R-low-1980-44-65,low,very_low,1980,65,2045,152129.95,31143.025695651057,25085.071923228,17059.573865873263,0.16489239576577785,0.5477815172035623
R-low-1985-44-65,low,very_low,1985,65,2050,180927.92,33532.02944107897,29602.70709,18189.435058383962,0.1636160250446697,0.5424495731863068
R-low-1990-44-65,low,very_low,1990,65,2055,214968.38,36190.49084211598,34612.390441176,19215.61689276353,0.16101154244720084,0.5309576202376822
R-low-1995-44-65,low,very_low,1995,65,2060,255531.48,39090.802860073425,40202.89461,20165.77956963428,0.15733049646172753,0.5158701815825637
R-low-2000-44-65,low,very_low,2000,65,2065,304175.68,42192.15820300589,46948.73560398,21277.301499166297,0.15434743370666584,0.504295167760592
R-low-2005-44-65,low,very_low,2005,65,2070,362245.73,45499.631196843664,54880.201062984,22472.08120512016,0.15149992537657794,0.493895897922774
R-low-2010-44-65,low,very_low,2010,65,2075,431340.48,48998.80982355487,64323.3351744,23797.48770332787,0.14912427225564362,0.4856748110622039
R-low-1930-44-65,low,low,1930,65,1995,24705.66,16440.86850937577,6228,12161.277335564157,0.252087983077562,0.7396979866744217
R-low-1935-44-65,low,low,1935,65,2000,32154.82,17404.185923657984,7164,12876.551574236548,0.22279707987791567,0.7398537128204945
R-low-1940-44-65,low,low,1940,65,2005,36952.94,18538.830370060983,9012,14443.587443399503,0.2438777537051179,0.7790991748176825
R-low-1945-44-65,low,low,1945,65,2010,41673.83,19695.308808860376,10188,14857.155129481349,0.24446997072263335,0.7543499456478451
R-low-1950-44-65,low,low,1950,65,2015,48098.63,20830.567464460608,11136,14957.354325808074,0.23152426586786362,0.7180483369609145
R-low-1955-44-65,low,low,1955,65,2020,55628.6,22092.13022264915,12888,15986.35695449572,0.23167938794073553,0.7236222488905254
R-low-1960-44-65,low,low,1960,65,2025,72255.52,23539.70329221506,15204,15518.7228,0.2104199097868232,0.6592573664737855
R-low-1965-44-65,low,low,1965,65,2030,88030.45,25154.864377978556,18384,16950.713175113582,0.2088368286200968,0.6738542860104954
R-low-1970-44-65,low,low,1970,65,2035,106494.41,26970.821728901054,17838.877313808,14861.082232275265,0.16750998774309372,0.5510059123022794
R-low-1975-44-65,low,low,1975,65,2040,127479.7,28991.257106845605,21144.054989567998,15914.982040958335,0.16586213326175067,0.5489579835156712
R-low-1980-44-65,low,low,1980,65,2045,152129.95,31143.025695651057,25085.071923228,17059.573865873263,0.16489239576577785,0.5477815172035623
R-low-1985-44-65,low,low,1985,65,2050,180927.92,33532.02944107897,29602.70709,18189.435058383962,0.1636160250446697,0.5424495731863068
R-low-1990-44-65,low,low,1990,65,2055,214968.38,36190.49084211598,34612.390441176,19215.61689276353,0.16101154244720084,0.5309576202376822
R-low-1995-44-65,low,low,1995,65,2060,255531.48,39090.802860073425,40202.89461,20165.77956963428,0.15733049646172753,0.5158701815825637
R-low-2000-44-65,low,low,2000,65,2065,304175.68,42192.15820300589,46948.73560398,21277.301499166297,0.15434743370666584,0.504295167760592
R-low-2005-44-65,low,low,2005,65,2070,362245.73,45499.631196843664,54880.201062984,22472.08120512016,0.15149992537657794,0.493895897922774
R-low-2010-44-65,low,low,2010,65,2075,431340.48,48998.80982355487,64323.3351744,23797.48770332787,0.14912427225564362,0.4856748110622039
R-low-1930-44-65,low,medium,1930,65,1995,24705.66,16440.86850937577,6228,12161.277335564157,0.252087983077562,0.7396979866744217
R-low-1935-44-65,low,medium,1935,65,2000,32154.82,17404.185923657984,7164,12876.551574236548,0.22279707987791567,0.7398537128204945
R-low-1940-44-65,low,medium,1940,65,2005,36952.94,18538.830370060983,9012,14443.587443399503,0.2438777537051179,0.7790991748176825
R-low-1945-44-65,low,medium,1945,65,2010,41673.83,19695.308808860376,10188,14857.155129481349,0.24446997072263335,0.7543499456478451
R-low-1950-44-65,low,medium,1950,65,2015,48098.63,20830.567464460608,11136,14957.354325808074,0.23152426586786362,0.7180483369609145
R-low-1955-44-65,low,medium,1955,65,2020,55628.6,22092.13022264915,12888,15986.35695449572,0.23167938794073553,0.7236222488905254
R-low-1960-44-65,low,medium,1960,65,2025,72255.52,23539.70329221506,15204,15518.7228,0.2104199097868232,0.6592573664737855
R-low-1965-44-65,low,medium,1965,65,2030,88030.45,25154.864377978556,18384,16950.713175113582,0.2088368286200968,0.6738542860104954
R-low-1970-44-65,low,medium,1970,65,2035,106494.41,26970.821728901054,17838.877313808,14861.082232275265,0.16750998774309372,0.5510059123022794
R-low-1975-44-65,low,medium,1975,65,2040,127479.7,28991.257106845605,21144.054989567998,15914.982040958335,0.16586213326175067,0.5489579835156712
R-low-1980-44-65,low,medium,1980,65,2045,152129.95,31143.025695651057,25085.071923228,17059.573865873263,0.16489239576577785,0.5477815172035623
R-low-1985-44-65,low,medium,1985,65,2050,180927.92,33532.02944107897,29602.70709,18189.435058383962,0.1636160250446697,0.5424495731863068
R-low-1990-44-65,low,medium,1990,65,2055,214968.38,36190.49084211598,34612.390441176,19215.61689276353,0.16101154244720084,0.5309576202376822
R-low-1995-44-65,low,medium,1995,65,2060,255531.48,39090.802860073425,40202.89461,20165.77956963428,0.15733049646172753,0.5158701815825637
R-low-2000-44-65,low,medium,2000,65,2065,304175.68,42192.15820300589,46948.73560398,21277.301499166297,0.15434743370666584,0.504295167760592
R-low-2005-44-65,low,medium,2005,65,2070,362245.73,45499.631196843664,54880.201062984,22472.08120512016,0.15149992537657794,0.493895897922774
R-low-2010-44-65,low,medium,2010,65,2075,431340.48,48998.80982355487,64323.3351744,23797.48770332787,0.14912427225564362,0.4856748110622039
R-low-1930-44-65,low,high,1930,65,1995,24705.66,16440.86850937577,6228,12161.277335564157,0.252087983077562,0.7396979866744217
R-low-1935-44-65,low,high,1935,65,2000,32154.82,17404.185923657984,7164,12876.551574236548,0.22279707987791567,0.7398537128204945
R-low-1940-44-65,low,high,1940,65,2005,36952.94,18538.830370060983,9012,14443.587443399503,0.2438777537051179,0.7790991748176825
R-low-1945-44-65,low,high,1945,65,2010,41673.83,19695.308808860376,10188,14857.155129481349,0.24446997072263335,0.7543499456478451
R-low-1950-44-65,low,high,1950,65,2015,48098.63,20830.567464460608,11136,14957.354325808074,0.23152426586786362,0.7180483369609145
R-low-1955-44-65,low,high,1955,65,2020,55628.6,22092.13022264915,12888,15986.35695449572,0.23167938794073553,0.7236222488905254
R-low-1960-44-65,low,high,1960,65,2025,72255.52,23539.70329221506,15204,15518.7228,0.2104199097868232,0.6592573664737855
R-low-1965-44-65,low,high,1965,65,2030,88030.45,25154.864377978556,18384,16950.713175113582,0.2088368286200968,0.6738542860104954
R-low-1970-44-65,low,high,1970,65,2035,106494.41,26970.821728901054,17838.877313808,14861.082232275265,0.16750998774309372,0.5510059123022794
R-low-1975-44-65,low,high,1975,65,2040,127479.7,28991.257106845605,21144.054989567998,15914.982040958335,0.16586213326175067,0.5489579835156712
R-low-1980-44-65,low,high,1980,65,2045,152129.95,31143.025695651057,25085.071923228,17059.573865873263,0.16489239576577785,0.5477815172035623
R-low-1985-44-65,low,high,1985,65,2050,180927.92,33532.02944107897,29602.70709,18189.435058383962,0.1636160250446697,0.5424495731863068
R-low-1990-44-65,low,high,1990,65,2055,214968.38,36190.49084211598,34612.390441176,19215.61689276353,0.16101154244720084,0.5309576202376822
R-low-1995-44-65,low,high,1995,65,2060,255531.48,39090.802860073425,40202.89461,20165.77956963428,0.15733049646172753,0.5158701815825637
R-low-2000-44-65,low,high,2000,65,2065,304175.68,42192.15820300589,46948.73560398,21277.301499166297,0.15434743370666584,0.504295167760592
R-low-2005-44-65,low,high,2005,65,2070,362245.73,45499.631196843664,54880.201062984,22472.08120512016,0.15149992537657794,0.493895897922774
R-low-2010-44-65,low,high,2010,65,2075,431340.48,48998.80982355487,64323.3351744,23797.48770332787,0.14912427225564362,0.4856748110622039
R-low-1930-44-65,low,max,1930,65,1995,24705.66,16440.86850937577,6228,12161.277335564157,0.252087983077562,0.7396979866744217
R-low-1935-44-65,low,max,1935,65,2000,32154.82,17404.185923657984,7164,12876.551574236548,0.22279707987791567,0.7398537128204945
R-low-1940-44-65,low,max,1940,65,2005,36952.94,18538.830370060983,9012,14443.587443399503,0.2438777537051179,0.7790991748176825
R-low-1945-44-65,low,max,1945,65,2010,41673.83,19695.308808860376,10188,14857.155129481349,0.24446997072263335,0.7543499456478451
R-low-1950-44-65,low,max,1950,65,2015,48098.63,20830.567464460608,11136,14957.354325808074,0.23152426586786362,0.7180483369609145
R-low-1955-44-65,low,max,1955,65,2020,55628.6,22092.13022264915,12888,15986.35695449572,0.23167938794073553,0.7236222488905254
R-low-1960-44-65,low,max,1960,65,2025,72255.52,23539.70329221506,15204,15518.7228,0.2104199097868232,0.6592573664737855
R-low-1965-44-65,low,max,1965,65,2030,88030.45,25154.864377978556,18384,16950.713175113582,0.2088368286200968,0.6738542860104954
R-low-1970-44-65,low,max,1970,65,2035,106494.41,26970.821728901054,17838.877313808,14861.082232275265,0.16750998774309372,0.5510059123022794
